2025-11-28 15:47:51,816 - root - INFO - Logging configured successfully.
2025-11-28 15:51:52,919 - corrector.core.run - INFO - Step 48/596: Moving to target x=-56100, y=-24650
2025-11-28 15:51:57,235 - corrector.core.drift - INFO - Phase correlation: shift=(15.88469822854995, -30.055041831658855) conf=0.5357888999130742
2025-11-28 15:51:57,315 - corrector.core.run - INFO - Drift detected: (dx=-197, dy=-373) with conf=0.5358
2025-11-28 15:51:57,826 - corrector.core.run - INFO - Step 49/596: Moving to target x=-56050, y=-24650
2025-11-28 15:52:02,301 - corrector.core.drift - INFO - Phase correlation: shift=(17.90866595056775, -30.079020572514082) conf=0.5446198042523825
2025-11-28 15:52:02,365 - corrector.core.run - INFO - Drift detected: (dx=-222, dy=-373) with conf=0.5446
2025-11-28 15:52:02,908 - corrector.core.run - INFO - Step 50/596: Moving to target x=-56000, y=-24650
2025-11-28 15:52:07,224 - corrector.core.drift - INFO - Phase correlation: shift=(20.034337482577712, -30.076491776834303) conf=0.5507256537652775
2025-11-28 15:52:07,304 - corrector.core.run - INFO - Drift detected: (dx=-248, dy=-373) with conf=0.5507
2025-11-28 15:52:07,813 - corrector.core.run - INFO - Step 51/596: Moving to target x=-55950, y=-24650
2025-11-28 15:52:11,947 - corrector.core.drift - INFO - Phase correlation: shift=(23.055366253755665, -30.016959010675293) conf=0.5656118573607135
2025-11-28 15:52:12,011 - corrector.core.run - INFO - Drift detected: (dx=-286, dy=-372) with conf=0.5656
2025-11-28 15:52:12,505 - corrector.core.run - INFO - Step 52/596: Moving to target x=-55900, y=-24650
2025-11-28 15:52:16,954 - corrector.core.drift - INFO - Phase correlation: shift=(26.834326900081123, -30.803800426490852) conf=0.5369012546101944
2025-11-28 15:52:17,003 - corrector.core.run - INFO - Drift detected: (dx=-333, dy=-382) with conf=0.5369
2025-11-28 15:52:17,527 - corrector.core.run - INFO - Step 53/596: Moving to target x=-55850, y=-24650
2025-11-28 15:52:21,567 - corrector.core.drift - INFO - Phase correlation: shift=(29.78134193218966, -30.046134696703234) conf=0.5406448463684721
2025-11-28 15:52:21,631 - corrector.core.run - INFO - Drift detected: (dx=-369, dy=-373) with conf=0.5406
2025-11-28 15:52:22,096 - corrector.core.run - INFO - Step 54/596: Moving to target x=-55800, y=-24650
2025-11-28 15:52:26,710 - corrector.core.drift - INFO - Phase correlation: shift=(32.87885880798899, -29.958638737667854) conf=0.5387958027495645
