2025-11-14 12:59:08,266 - root - INFO - Logging configured successfully.
2025-11-14 13:02:44,241 - corrector.core.run - INFO - Step 37/501: Moving to target x=610886, y=-1259007
2025-11-14 13:02:49,664 - corrector.core.drift - INFO - Phase correlation: shift=(-300.98660910690967, 133.8823775195001) conf=0.3592040458367338
2025-11-14 13:02:49,744 - corrector.core.run - INFO - Drift detected: (dx=3318, dy=1476) with conf=0.3592
2025-11-14 13:02:50,506 - corrector.core.run - INFO - Step 38/501: Moving to target x=617742, y=-1254010
2025-11-14 13:02:55,869 - corrector.core.drift - INFO - Phase correlation: shift=(91.10324874430182, -26.14458267980183) conf=0.5314980120009991
2025-11-14 13:02:55,934 - corrector.core.run - INFO - Drift detected: (dx=-1004, dy=-288) with conf=0.5315
2025-11-14 13:02:56,525 - corrector.core.run - INFO - Step 39/501: Moving to target x=612649, y=-1251522
2025-11-14 13:03:00,581 - corrector.core.drift - INFO - Phase correlation: shift=(-86.04715638250013, -206.93317207834923) conf=0.42293203056769857
2025-11-14 13:03:00,645 - corrector.core.run - INFO - Drift detected: (dx=949, dy=-2281) with conf=0.4229
2025-11-14 13:03:01,363 - corrector.core.run - INFO - Step 40/501: Moving to target x=615439, y=-1253580
2025-11-14 13:03:06,870 - corrector.core.drift - INFO - Phase correlation: shift=(-6.086979004743171, -142.16051564033273) conf=0.5161607419152897
2025-11-14 13:03:06,918 - corrector.core.run - INFO - Drift detected: (dx=67, dy=-1567) with conf=0.5162
2025-11-14 13:03:07,828 - corrector.core.run - INFO - Step 41/501: Moving to target x=614364, y=-1255736
2025-11-14 13:03:13,145 - corrector.core.drift - INFO - Phase correlation: shift=(-23.963487203747718, -49.89829947189486) conf=0.5587535836283647
2025-11-14 13:03:13,226 - corrector.core.run - INFO - Drift detected: (dx=264, dy=-550) with conf=0.5588
2025-11-14 13:03:13,879 - corrector.core.run - INFO - Step 42/501: Moving to target x=614591, y=-1255390
2025-11-14 13:03:19,414 - corrector.core.drift - INFO - Phase correlation: shift=(-23.03360148435536, -51.22012343443578) conf=0.5434788400931667
2025-11-14 13:03:19,510 - corrector.core.run - INFO - Drift detected: (dx=254, dy=-565) with conf=0.5435
2025-11-14 13:03:20,228 - corrector.core.run - INFO - Step 43/501: Moving to target x=614828, y=-1249717
2025-11-14 13:03:25,823 - corrector.core.drift - INFO - Phase correlation: shift=(23.95341845947405, -321.01773591558845) conf=0.3948837928065371
2025-11-14 13:03:25,903 - corrector.core.run - INFO - Drift detected: (dx=-264, dy=-3539) with conf=0.3949
2025-11-14 13:03:26,637 - corrector.core.run - INFO - Step 44/501: Moving to target x=619647, y=-1255937
2025-11-14 13:03:32,050 - corrector.core.drift - INFO - Phase correlation: shift=(253.949499244815, -30.182229800880634) conf=0.4005325744620354
2025-11-14 13:03:32,130 - corrector.core.run - INFO - Drift detected: (dx=-2800, dy=-333) with conf=0.4005
2025-11-14 13:03:33,148 - corrector.core.run - INFO - Step 45/501: Moving to target x=614103, y=-1254664
2025-11-14 13:03:38,381 - corrector.core.drift - INFO - Phase correlation: shift=(10.984783232158406, -95.88365075215347) conf=0.5396421650692523
2025-11-14 13:03:38,462 - corrector.core.run - INFO - Drift detected: (dx=-121, dy=-1057) with conf=0.5396
2025-11-14 13:03:39,178 - corrector.core.run - INFO - Step 46/501: Moving to target x=610252, y=-1251683
2025-11-14 13:03:44,717 - corrector.core.drift - INFO - Phase correlation: shift=(-283.0564829501976, -268.8842092939493) conf=0.29095002822984434
2025-11-14 13:03:44,797 - corrector.core.run - INFO - Drift detected: (dx=3121, dy=-2964) with conf=0.2910
2025-11-14 13:03:45,724 - corrector.core.run - INFO - Step 47/501: Moving to target x=611202, y=-1254706
2025-11-14 13:03:50,865 - corrector.core.drift - INFO - Phase correlation: shift=(-281.9968222381971, -177.73259758233894) conf=0.32923363986032816
2025-11-14 13:03:50,913 - corrector.core.run - INFO - Drift detected: (dx=3109, dy=-1959) with conf=0.3292
2025-11-14 13:03:51,934 - corrector.core.run - INFO - Step 48/501: Moving to target x=616089, y=-1255884
2025-11-14 13:03:57,245 - corrector.core.drift - INFO - Phase correlation: shift=(-52.8909476327143, -81.82268168286862) conf=0.5089521199346303
2025-11-14 13:03:57,309 - corrector.core.run - INFO - Drift detected: (dx=583, dy=-902) with conf=0.5090
2025-11-14 13:03:57,995 - corrector.core.run - INFO - Step 49/501: Moving to target x=617659, y=-1251077
2025-11-14 13:04:03,481 - corrector.core.drift - INFO - Phase correlation: shift=(118.60159827356244, -233.1536724671977) conf=0.3749527413896187
2025-11-14 13:04:03,577 - corrector.core.run - INFO - Drift detected: (dx=-1308, dy=-2570) with conf=0.3750
2025-11-14 13:04:04,149 - corrector.core.run - INFO - Step 50/501: Moving to target x=619452, y=-1254006
2025-11-14 13:04:09,781 - corrector.core.drift - INFO - Phase correlation: shift=(257.3692847351314, -125.03473488595915) conf=0.3423308051006633
2025-11-14 13:04:09,861 - corrector.core.run - INFO - Drift detected: (dx=-2837, dy=-1378) with conf=0.3423
2025-11-14 13:04:10,530 - corrector.core.run - INFO - Step 51/501: Moving to target x=617831, y=-1250404
2025-11-14 13:04:15,957 - corrector.core.drift - INFO - Phase correlation: shift=(259.02316377375485, -250.7980999771355) conf=0.33498894711446536
2025-11-14 13:04:16,005 - corrector.core.run - INFO - Drift detected: (dx=-2856, dy=-2765) with conf=0.3350
2025-11-14 13:04:16,722 - corrector.core.run - INFO - Step 52/501: Moving to target x=613898, y=-1260314
2025-11-14 13:04:22,327 - corrector.core.drift - INFO - Phase correlation: shift=(-53.877395148687356, 207.2302042497089) conf=0.39818953614216596
2025-11-14 13:04:22,406 - corrector.core.run - INFO - Drift detected: (dx=594, dy=2285) with conf=0.3982
2025-11-14 13:04:23,139 - corrector.core.run - INFO - Step 53/501: Moving to target x=616406, y=-1255650
2025-11-14 13:04:28,611 - corrector.core.drift - INFO - Phase correlation: shift=(57.994760220128, 50.30679341602422) conf=0.5186105576965415
2025-11-14 13:04:28,674 - corrector.core.run - INFO - Drift detected: (dx=-639, dy=555) with conf=0.5186
2025-11-14 13:04:29,616 - corrector.core.run - INFO - Step 54/501: Moving to target x=615229, y=-1255994
2025-11-14 13:04:34,832 - corrector.core.drift - INFO - Phase correlation: shift=(57.0064549665442, 51.968500727439164) conf=0.5396953029349049
2025-11-14 13:04:34,881 - corrector.core.run - INFO - Drift detected: (dx=-628, dy=573) with conf=0.5397
2025-11-14 13:04:35,486 - corrector.core.run - INFO - Step 55/501: Moving to target x=610429, y=-1253354
2025-11-14 13:04:41,191 - corrector.core.drift - INFO - Phase correlation: shift=(-283.80460760295875, -132.05701152790743) conf=0.3419751750242243
2025-11-14 13:04:41,288 - corrector.core.run - INFO - Drift detected: (dx=3129, dy=-1456) with conf=0.3420
2025-11-14 13:04:42,355 - corrector.core.run - INFO - Step 56/501: Moving to target x=611575, y=-1253012
2025-11-14 13:04:47,382 - corrector.core.drift - INFO - Phase correlation: shift=(-261.04519142960766, -149.200473420479) conf=0.3607039025818097
2025-11-14 13:04:47,446 - corrector.core.run - INFO - Drift detected: (dx=2878, dy=-1645) with conf=0.3607
2025-11-14 13:04:48,401 - corrector.core.run - INFO - Step 57/501: Moving to target x=612769, y=-1256589
2025-11-14 13:04:53,700 - corrector.core.drift - INFO - Phase correlation: shift=(-283.7474242058856, -35.890936397267865) conf=0.38669920757471304
2025-11-14 13:04:53,762 - corrector.core.run - INFO - Drift detected: (dx=3128, dy=-396) with conf=0.3867
2025-11-14 13:04:54,588 - corrector.core.run - INFO - Step 58/501: Moving to target x=612056, y=-1252349
2025-11-14 13:04:59,933 - corrector.core.drift - INFO - Phase correlation: shift=(-253.92100769513019, -187.08025647153556) conf=0.35311940812958603
2025-11-14 13:05:00,016 - corrector.core.run - INFO - Drift detected: (dx=2799, dy=-2062) with conf=0.3531
2025-11-14 13:05:00,764 - corrector.core.run - INFO - Step 59/501: Moving to target x=616301, y=-1254566
2025-11-14 13:05:06,272 - corrector.core.drift - INFO - Phase correlation: shift=(-22.125738880407084, -93.87436435729524) conf=0.5187402204768587
2025-11-14 13:05:06,352 - corrector.core.run - INFO - Drift detected: (dx=244, dy=-1035) with conf=0.5187
2025-11-14 13:05:07,262 - corrector.core.run - INFO - Step 60/501: Moving to target x=611583, y=-1253737
2025-11-14 13:05:12,507 - corrector.core.drift - INFO - Phase correlation: shift=(-190.8555372860243, -133.9373576323922) conf=0.3956700807724953
2025-11-14 13:05:12,540 - corrector.core.run - INFO - Drift detected: (dx=2104, dy=-1477) with conf=0.3957
2025-11-14 13:05:13,463 - corrector.core.run - INFO - Step 61/501: Moving to target x=614560, y=-1254681
2025-11-14 13:05:18,766 - corrector.core.drift - INFO - Phase correlation: shift=(-91.92875636600866, -99.8843859285247) conf=0.4835413355850371
2025-11-14 13:05:18,862 - corrector.core.run - INFO - Drift detected: (dx=1013, dy=-1101) with conf=0.4835
2025-11-14 13:05:19,804 - corrector.core.run - INFO - Step 62/501: Moving to target x=613394, y=-1257050
2025-11-14 13:05:25,166 - corrector.core.drift - INFO - Phase correlation: shift=(-111.01330373235135, 4.014796771869612) conf=0.5244406301253636
2025-11-14 13:05:25,246 - corrector.core.run - INFO - Drift detected: (dx=1224, dy=44) with conf=0.5244
2025-11-14 13:05:25,932 - corrector.core.run - INFO - Step 63/501: Moving to target x=615251, y=-1253095
2025-11-14 13:05:31,227 - corrector.core.drift - INFO - Phase correlation: shift=(-85.88814220442646, -124.84563596824387) conf=0.46204135273324404
2025-11-14 13:05:31,291 - corrector.core.run - INFO - Drift detected: (dx=947, dy=-1376) with conf=0.4620
2025-11-14 13:05:31,926 - corrector.core.run - INFO - Step 64/501: Moving to target x=617535, y=-1257144
2025-11-14 13:05:36,201 - corrector.core.drift - INFO - Phase correlation: shift=(60.99197791420261, 37.02322564316603) conf=0.5477094995661986
2025-11-14 13:05:36,265 - corrector.core.run - INFO - Drift detected: (dx=-672, dy=408) with conf=0.5477
2025-11-14 13:05:36,868 - corrector.core.run - INFO - Step 65/501: Moving to target x=617783, y=-1257360
2025-11-14 13:05:42,485 - corrector.core.drift - INFO - Phase correlation: shift=(80.97422238312106, 53.02772273709627) conf=0.5260317601334685
2025-11-14 13:05:42,581 - corrector.core.run - INFO - Drift detected: (dx=-893, dy=585) with conf=0.5260
2025-11-14 13:05:43,314 - corrector.core.run - INFO - Step 66/501: Moving to target x=614761, y=-1250359
2025-11-14 13:05:48,707 - corrector.core.drift - INFO - Phase correlation: shift=(86.06090948228007, -271.8935928957417) conf=0.4243107959244065
2025-11-14 13:05:48,771 - corrector.core.run - INFO - Drift detected: (dx=-949, dy=-2997) with conf=0.4243
2025-11-14 13:05:49,488 - corrector.core.run - INFO - Step 67/501: Moving to target x=614536, y=-1256500
2025-11-14 13:05:55,123 - corrector.core.drift - INFO - Phase correlation: shift=(22.886451901340024, -32.190193776525575) conf=0.5605059381875868
2025-11-14 13:05:55,218 - corrector.core.run - INFO - Drift detected: (dx=-252, dy=-355) with conf=0.5605
2025-11-14 13:05:56,254 - corrector.core.run - INFO - Step 68/501: Moving to target x=615672, y=-1252912
2025-11-14 13:06:01,295 - corrector.core.drift - INFO - Phase correlation: shift=(51.1741572546988, -146.07303896733237) conf=0.4673963055990302
2025-11-14 13:06:01,359 - corrector.core.run - INFO - Drift detected: (dx=-564, dy=-1610) with conf=0.4674
2025-11-14 13:06:02,207 - corrector.core.run - INFO - Step 69/501: Moving to target x=614883, y=-1258557
2025-11-14 13:06:07,461 - corrector.core.drift - INFO - Phase correlation: shift=(9.907759789349825, 88.91785637360192) conf=0.5400730767447447
2025-11-14 13:06:07,525 - corrector.core.run - INFO - Drift detected: (dx=-109, dy=980) with conf=0.5401
2025-11-14 13:06:08,163 - corrector.core.run - INFO - Step 70/501: Moving to target x=614489, y=-1255840
2025-11-14 13:06:12,376 - corrector.core.drift - INFO - Phase correlation: shift=(17.10833993981896, 12.804970002314406) conf=0.5748726766975774
2025-11-14 13:06:12,471 - corrector.core.run - INFO - Drift detected: (dx=-189, dy=141) with conf=0.5749
2025-11-14 13:06:13,125 - corrector.core.run - INFO - Step 71/501: Moving to target x=611575, y=-1258962
2025-11-14 13:06:18,486 - corrector.core.drift - INFO - Phase correlation: shift=(-225.92124019229863, 75.13577340994652) conf=0.4208389598495554
2025-11-14 13:06:18,549 - corrector.core.run - INFO - Drift detected: (dx=2491, dy=828) with conf=0.4208
2025-11-14 13:06:19,713 - corrector.core.run - INFO - Step 72/501: Moving to target x=613094, y=-1254169
2025-11-14 13:06:24,897 - corrector.core.drift - INFO - Phase correlation: shift=(-175.13284402528097, -95.09758056403808) conf=0.42480461287979293
2025-11-14 13:06:24,977 - corrector.core.run - INFO - Drift detected: (dx=1931, dy=-1048) with conf=0.4248
2025-11-14 13:06:26,011 - corrector.core.run - INFO - Step 73/501: Moving to target x=614637, y=-1255345
2025-11-14 13:06:31,213 - corrector.core.drift - INFO - Phase correlation: shift=(-148.84364461380977, -69.99536028754812) conf=0.45851453980509993
2025-11-14 13:06:31,293 - corrector.core.run - INFO - Drift detected: (dx=1641, dy=-772) with conf=0.4585
2025-11-14 13:06:32,316 - corrector.core.run - INFO - Step 74/501: Moving to target x=614280, y=-1254098
2025-11-14 13:06:37,396 - corrector.core.drift - INFO - Phase correlation: shift=(-146.02231749561037, -93.1782970962281) conf=0.4428134868653683
2025-11-14 13:06:37,477 - corrector.core.run - INFO - Drift detected: (dx=1610, dy=-1027) with conf=0.4428
2025-11-14 13:06:38,575 - corrector.core.run - INFO - Step 75/501: Moving to target x=615677, y=-1257926
2025-11-14 13:06:43,559 - corrector.core.drift - INFO - Phase correlation: shift=(-91.95409179565218, 45.997529323816025) conf=0.5183799357198359
2025-11-14 13:06:43,639 - corrector.core.run - INFO - Drift detected: (dx=1014, dy=507) with conf=0.5184
2025-11-14 13:06:44,549 - corrector.core.run - INFO - Step 76/501: Moving to target x=614782, y=-1254527
2025-11-14 13:06:49,977 - corrector.core.drift - INFO - Phase correlation: shift=(-74.85780557002886, -59.09913331721697) conf=0.5015315272961978
