2025-11-14 10:20:17,933 - root - INFO - Logging configured successfully.
2025-11-14 10:25:45,309 - corrector.core.run - INFO - Step 54/501: Moving to target x=609003, y=-1257148
2025-11-14 10:25:49,487 - corrector.core.drift - INFO - Phase correlation: shift=(-188.8402664381735, 86.03632037344425) conf=0.7273457111830104
2025-11-14 10:25:49,567 - corrector.core.run - INFO - Drift detected: (dx=3123, dy=1423) with conf=0.7273
2025-11-14 10:25:50,238 - corrector.core.run - INFO - Step 55/501: Moving to target x=618948, y=-1249176
2025-11-14 10:25:55,747 - corrector.core.drift - INFO - Phase correlation: shift=(309.19812958246587, -80.05840818295684) conf=0.5685709122864652
2025-11-14 10:25:55,827 - corrector.core.run - INFO - Drift detected: (dx=-5113, dy=-1324) with conf=0.5686
2025-11-14 10:25:56,386 - corrector.core.run - INFO - Step 56/501: Moving to target x=615368, y=-1258378
2025-11-14 10:26:00,505 - corrector.core.drift - INFO - Phase correlation: shift=(205.8709497478519, 175.99996986700103) conf=0.5871309669785238
2025-11-14 10:26:00,569 - corrector.core.run - INFO - Drift detected: (dx=-3404, dy=2910) with conf=0.5871
2025-11-14 10:26:01,204 - corrector.core.run - INFO - Step 57/501: Moving to target x=617070, y=-1252362
2025-11-14 10:26:06,718 - corrector.core.drift - INFO - Phase correlation: shift=(256.0982190472463, 40.299401952042786) conf=0.6737191936521695
2025-11-14 10:26:06,782 - corrector.core.run - INFO - Drift detected: (dx=-4235, dy=666) with conf=0.6737
2025-11-14 10:26:07,897 - corrector.core.run - INFO - Step 58/501: Moving to target x=621228, y=-1253738
2025-11-14 10:26:12,986 - corrector.core.drift - INFO - Phase correlation: shift=(427.9830588265013, 81.08598994316048) conf=0.5001233546517423
2025-11-14 10:26:13,050 - corrector.core.run - INFO - Drift detected: (dx=-7077, dy=1341) with conf=0.5001
2025-11-14 10:26:13,749 - corrector.core.run - INFO - Step 59/501: Moving to target x=610748, y=-1253824
2025-11-14 10:26:19,288 - corrector.core.drift - INFO - Phase correlation: shift=(-21.27480569300269, 13.14835727730133) conf=0.9508327074559958
2025-11-14 10:26:19,368 - corrector.core.run - INFO - Drift detected: (dx=352, dy=217) with conf=0.9508
2025-11-14 10:26:20,135 - corrector.core.run - INFO - Step 60/501: Moving to target x=620101, y=-1260473
2025-11-14 10:26:25,499 - corrector.core.drift - INFO - Phase correlation: shift=(305.7976994401537, 300.04465664943973) conf=0.42292007516467817
2025-11-14 10:26:25,595 - corrector.core.run - INFO - Drift detected: (dx=-5057, dy=4962) with conf=0.4229
2025-11-14 10:26:26,474 - corrector.core.run - INFO - Step 61/501: Moving to target x=617198, y=-1259563
2025-11-14 10:26:31,930 - corrector.core.drift - INFO - Phase correlation: shift=(285.1198264743108, 290.70755422762716) conf=0.44144737395297795
2025-11-14 10:26:32,010 - corrector.core.run - INFO - Drift detected: (dx=-4715, dy=4807) with conf=0.4414
2025-11-14 10:26:32,711 - corrector.core.run - INFO - Step 62/501: Moving to target x=621436, y=-1255779
2025-11-14 10:26:37,996 - corrector.core.drift - INFO - Phase correlation: shift=(417.71358148893887, 217.12323764813448) conf=0.40854787384583297
2025-11-14 10:26:38,060 - corrector.core.run - INFO - Drift detected: (dx=-6908, dy=3590) with conf=0.4085
2025-11-14 10:26:38,634 - corrector.core.run - INFO - Step 63/501: Moving to target x=612740, y=-1259062
2025-11-14 10:26:42,814 - corrector.core.drift - INFO - Phase correlation: shift=(61.78979072263655, 220.06830161587675) conf=0.6650135415225357
2025-11-14 10:26:42,878 - corrector.core.run - INFO - Drift detected: (dx=-1022, dy=3639) with conf=0.6650
2025-11-14 10:26:43,581 - corrector.core.run - INFO - Step 64/501: Moving to target x=616822, y=-1256859
2025-11-14 10:26:49,137 - corrector.core.drift - INFO - Phase correlation: shift=(138.1189504084947, 200.7980991182866) conf=0.6185760207627884
2025-11-14 10:26:49,216 - corrector.core.run - INFO - Drift detected: (dx=-2284, dy=3320) with conf=0.6186
2025-11-14 10:26:49,902 - corrector.core.run - INFO - Step 65/501: Moving to target x=605557, y=-1257079
2025-11-14 10:26:55,478 - corrector.core.drift - INFO - Phase correlation: shift=(-371.04120991606965, 125.20987930353192) conf=0.5350586493652272
2025-11-14 10:26:55,557 - corrector.core.run - INFO - Drift detected: (dx=6136, dy=2071) with conf=0.5351
2025-11-14 10:26:56,256 - corrector.core.run - INFO - Step 66/501: Moving to target x=615438, y=-1253631
2025-11-14 10:27:01,795 - corrector.core.drift - INFO - Phase correlation: shift=(54.753340757389424, 93.99487412684834) conf=0.8180513048597968
2025-11-14 10:27:01,860 - corrector.core.run - INFO - Drift detected: (dx=-905, dy=1554) with conf=0.8181
2025-11-14 10:27:02,863 - corrector.core.run - INFO - Step 67/501: Moving to target x=614217, y=-1257577
2025-11-14 10:27:07,934 - corrector.core.drift - INFO - Phase correlation: shift=(38.75568606268041, 168.20556096291807) conf=0.7475164556330789
2025-11-14 10:27:08,014 - corrector.core.run - INFO - Drift detected: (dx=-641, dy=2782) with conf=0.7475
2025-11-14 10:27:08,605 - corrector.core.run - INFO - Step 68/501: Moving to target x=611376, y=-1261123
2025-11-14 10:27:12,694 - corrector.core.drift - INFO - Phase correlation: shift=(-51.712741809373824, 279.8027014578647) conf=0.5828849685320721
2025-11-14 10:27:12,790 - corrector.core.run - INFO - Drift detected: (dx=855, dy=4627) with conf=0.5829
2025-11-14 10:27:13,476 - corrector.core.run - INFO - Step 69/501: Moving to target x=611486, y=-1255470
2025-11-14 10:27:19,063 - corrector.core.drift - INFO - Phase correlation: shift=(-23.986048817954384, 153.21064120934682) conf=0.7848582494261201
2025-11-14 10:27:19,127 - corrector.core.run - INFO - Drift detected: (dx=397, dy=2534) with conf=0.7849
2025-11-14 10:27:20,164 - corrector.core.run - INFO - Step 70/501: Moving to target x=610410, y=-1256142
2025-11-14 10:27:25,255 - corrector.core.drift - INFO - Phase correlation: shift=(-74.93609969260149, 148.96777054055678) conf=0.7633837632224636
2025-11-14 10:27:25,319 - corrector.core.run - INFO - Drift detected: (dx=1239, dy=2463) with conf=0.7634
2025-11-14 10:27:25,942 - corrector.core.run - INFO - Step 71/501: Moving to target x=615099, y=-1254039
2025-11-14 10:27:30,094 - corrector.core.drift - INFO - Phase correlation: shift=(35.84187232164902, 117.3037893211573) conf=0.7888167371606252
2025-11-14 10:27:30,142 - corrector.core.run - INFO - Drift detected: (dx=-593, dy=1940) with conf=0.7888
2025-11-14 10:27:30,861 - corrector.core.run - INFO - Step 72/501: Moving to target x=610921, y=-1263549
2025-11-14 10:27:36,291 - corrector.core.drift - INFO - Phase correlation: shift=(-97.77126706465378, 423.1091082913156) conf=0.43224379904495464
2025-11-14 10:27:36,371 - corrector.core.run - INFO - Drift detected: (dx=1617, dy=6997) with conf=0.4322
2025-11-14 10:27:37,009 - corrector.core.run - INFO - Step 73/501: Moving to target x=618217, y=-1259650
2025-11-14 10:27:42,671 - corrector.core.drift - INFO - Phase correlation: shift=(184.76114538585387, 385.13936403916534) conf=0.41526994033030445
2025-11-14 10:27:42,751 - corrector.core.run - INFO - Drift detected: (dx=-3055, dy=6369) with conf=0.4153
2025-11-14 10:27:43,484 - corrector.core.run - INFO - Step 74/501: Moving to target x=614859, y=-1248130
2025-11-14 10:27:48,927 - corrector.core.drift - INFO - Phase correlation: shift=(225.88635632505554, -136.94579161985968) conf=0.6129637795062226
2025-11-14 10:27:48,991 - corrector.core.run - INFO - Drift detected: (dx=-3735, dy=-2265) with conf=0.6130
2025-11-14 10:27:49,771 - corrector.core.run - INFO - Step 75/501: Moving to target x=609992, y=-1255591
2025-11-14 10:27:55,171 - corrector.core.drift - INFO - Phase correlation: shift=(-75.79599934765861, 9.026189550470292) conf=0.9187171248785222
2025-11-14 10:27:55,251 - corrector.core.run - INFO - Drift detected: (dx=1253, dy=149) with conf=0.9187
2025-11-14 10:27:55,954 - corrector.core.run - INFO - Step 76/501: Moving to target x=617101, y=-1255644
2025-11-14 10:28:01,459 - corrector.core.drift - INFO - Phase correlation: shift=(157.91418475984324, 52.2563769804392) conf=0.7407146877647883
